CODICE_CANTIERE;DESCRIZIONE_CANTIERE;IMPORTO_LAVORI;DURATA_LAVORI;DATA_INIZIO_LAVORI;DATA_FINE_LAVORI;VERSIONE;TIPO_SORGENTE
1/2009;;1850000.00;24;01102009;01102011;0;NOP
1/2012;;553981.78;12;;09012013;0;NOP
1/2013;;40000.00;6;02012013;;0;NOP
1/2014;;20000.00;2;20012014;20032014;0;NOP
1/2015;;10000.00;30;02022015;04032015;0;NOP
1/2016;;200000.00;6;11012016;11072016;0;NOP
1/2017;;20000.00;3;03012017;03042017;0;NOP
1/2018;;25000.00;90;08012018;08042018;0;NOP
1/2019;;5169.68;10;02012019;12012019;0;NOP
1/2021;;50000.00;59;07012021;07032021;0;NOP
10/2012;;650.00;25;11012012;05022012;0;NOP
10/2013;;75000.00;12;03012013;03012014;0;NOP
10/2014;;20000.00;3;02012014;02042014;0;NOP
10/2015;;1000.00;12;07012015;07012016;0;NOP
10/2016;;19000.00;2;04012016;04032016;0;NOP
10/2017;;17000.00;1;02012017;02022017;0;NOP
10/2018;;40000.00;3;08012018;08042018;0;NOP
10/2019;;50000.00;181;02012019;02072019;0;NOP
10/2020;;27909.00;60;07012020;07032020;0;NOP
10/2021;;11000.00;5;02012021;07012021;0;NOP
100/2012;;100000.00;18;03012012;03072013;0;NOP
100/2013;;55000.00;10;08082012;08062013;0;NOP
100/2014;;60000.00;145;06012014;31052014;0;NOP
100/2015;;50000.00;2;12012015;12032015;0;NOP
100/2016;;67000.00;77;18022016;05052016;0;NOP
100/2017;;280000.00;12;09012017;09012018;0;NOP
100/2018;;25000.00;60;08012018;09032018;0;NOP
100/2019;;10000.00;90;07012019;07042019;0;NOP
100/2020;;90000.00;91;07012020;07042020;0;NOP
100/2021;;25000.00;4;04012021;08012021;0;NOP
1000/2012;;20000.00;2;12012012;12032012;0;NOP
1000/2013;;30000.00;2;14012013;14032013;0;NOP
1000/2014;;28000.00;14;15012014;29012014;0;NOP
