CODICE_CANTIERE;DESCRIZIONE_CANTIERE;IMPORTO_LAVORI;DURATA_LAVORI;DATA_INIZIO_LAVORI;DATA_FINE_LAVORI;VERSIONE;TIPO_SORGENTE
1/2009;;1850000.00;24;011020091234;011020111234;0;NOP
1/2012;;553981.78;12;;090120131234;0;NOP
1/2013;;40000.00;6;020120131234;;0;NOP
1/2014;;20000.00;2;200120141234;200320141234;0;NOP
1/2015;;10000.00;30;020220151234;040320151234;0;NOP
1/2016;;200000.00;6;110120161234;110720161234;0;NOP
1/2017;;20000.00;3;030120171234;030420171234;0;NOP
1/2018;;25000.00;90;080120181234;080420181234;0;NOP
1/2019;;5169.68;10;020120191234;120120191234;0;NOP
1/2021;;50000.00;59;070120211234;070320211234;0;NOP
10/2012;;650.00;25;110120121234;050220121234;0;NOP
10/2013;;75000.00;12;030120131234;030120141234;0;NOP
10/2014;;20000.00;3;020120141234;020420141234;0;NOP
10/2015;;1000.00;12;070120151234;070120161234;0;NOP
10/2016;;19000.00;2;040120161234;040320161234;0;NOP
10/2017;;17000.00;1;020120171234;020220171234;0;NOP
10/2018;;40000.00;3;080120181234;080420181234;0;NOP
10/2019;;50000.00;181;020120191234;020720191234;0;NOP
10/2020;;27909.00;60;070120201234;070320201234;0;NOP
10/2021;;11000.00;5;020120211234;070120211234;0;NOP
100/2012;;100000.00;18;030120121234;030720131234;0;NOP
100/2013;;55000.00;10;080820121234;080620131234;0;NOP
100/2014;;60000.00;145;060120141234;310520141234;0;NOP
100/2015;;50000.00;2;120120151234;120320151234;0;NOP
100/2016;;67000.00;77;180220161234;050520161234;0;NOP
100/2017;;280000.00;12;090120171234;090120181234;0;NOP
100/2018;;25000.00;60;080120181234;090320181234;0;NOP
100/2019;;10000.00;90;070120191234;070420191234;0;NOP
100/2020;;90000.00;91;070120201234;070420201234;0;NOP
100/2021;;25000.00;4;040120211234;080120211234;0;NOP
1000/2012;;20000.00;2;120120121234;120320121234;0;NOP
1000/2013;;30000.00;2;140120131234;140320131234;0;NOP
1000/2014;;28000.00;14;150120141234;290120141234;0;NOP
1000/2015;;40000.00;3;140120151234;140420151234;0;NOP
1000/2016;;12000.00;15;120120161234;270120161234;0;NOP
1000/2017;;40000.00;2;130120171234;130320171234;0;NOP
1000/2018;;800.00;365;150120181234;150120191234;0;NOP
1000/2019;;10000.00;31;100120191234;100220191234;0;NOP
1000/2020;;120000.00;182;130120201234;130720201234;0;NOP
1000/2021;;65000.00;90;110120211234;110420211234;0;NOP
10000/2010;;30000.00;6;080320101234;080920101234;0;NOP
10000/2012;;556953.87;9131;260320121234;260320371234;0;NOP
10000/2013;;45000.00;2;130320131234;130520131234;0;NOP
10000/2014;;15000.00;2;170320141234;170520141234;0;NOP
10000/2015;;7000.00;10;110320151234;210320151234;0;NOP
10000/2016;;30000.00;15;090320161234;240320161234;0;NOP
10000/2017;;150000.00;20;031120151234;030720171234;0;NOP
10000/2019;;2000.00;5;250320191234;300320191234;0;NOP
10000/2020;;67240.00;90;260220201234;260520201234;0;NOP
10001/2010;;200000.00;12;090320101234;090320111234;0;NOP
10001/2012;;36000.00;1;200320121234;200420121234;0;NOP
10001/2013;;60000.00;4;130320131234;130720131234;0;NOP
10001/2014;;196774.23;45;170320141234;010520141234;0;NOP
10001/2015;;40000.00;29;120320151234;100420151234;0;NOP
10001/2016;;35000.00;1;080320161234;080420161234;0;NOP
10001/2017;;20000.00;40;080320171234;170420171234;0;NOP
10001/2018;;15000.00;0;050320181234;050420181234;0;NOP
10001/2019;;70000.00;120;280220191234;280620191234;0;NOP
10001/2020;;30000.00;60;250220201234;250420201234;0;NOP
10002/2010;;10000.00;1;090320101234;090420101234;0;NOP
10002/2012;;900000.00;6;190320121234;190920121234;0;NOP
