CODICE_CANTIERE;DESCRIZIONE_CANTIERE;IMPORTO_LAVORI;DURATA_LAVORI;DATA_INIZIO_LAVORI;DATA_FINE_LAVORI;VERSIONE;TIPO_SORGENTE
1/2009;;1850000.00;24;2009-10-01 00:00.000000;2011-10-01 00:00.000000;0;NOP
1/2012;;553981.78;12;2012-01-09 00:00.000000;2013-01-09 00:00.000000;0;NOP
1/2013;;40000.00;6;2013-01-02 00:00.000000;2013-07-02 00:00.000000;0;NOP
1/2014;;20000.00;2;2014-01-20 00:00.000000;2014-03-20 00:00.000000;0;NOP
1/2015;;10000.00;30;2015-02-02 00:00.000000;2015-03-04 00:00.000000;0;NOP
1/2016;;200000.00;6;2016-01-11 00:00.000000;2016-07-11 00:00.000000;0;NOP
1/2017;;20000.00;3;2017-01-03 00:00.000000;2017-04-03 00:00.000000;0;NOP
1/2018;;25000.00;90;2018-01-08 00:00.000000;2018-04-08 00:00.000000;0;NOP
1/2019;;5169.68;10;2019-01-02 00:00.000000;2019-01-12 00:00.000000;0;NOP
1/2021;;50000.00;59;2021-01-07 00:00.000000;2021-03-07 00:00.000000;0;NOP
10/2012;;650.00;25;2012-01-11 00:00.000000;2012-02-05 00:00.000000;0;NOP
10/2013;;75000.00;12;2013-01-03 00:00.000000;2014-01-03 00:00.000000;0;NOP
10/2014;;20000.00;3;2014-01-02 00:00.000000;2014-04-02 00:00.000000;0;NOP
10/2015;;1000.00;12;2015-01-07 00:00.000000;2016-01-07 00:00.000000;0;NOP
10/2016;;19000.00;2;2016-01-04 00:00.000000;2016-03-04 00:00.000000;0;NOP
10/2017;;17000.00;1;2017-01-02 00:00.000000;2017-02-02 00:00.000000;0;NOP
10/2018;;40000.00;3;2018-01-08 00:00.000000;2018-04-08 00:00.000000;0;NOP
10/2019;;50000.00;181;2019-01-02 00:00.000000;2019-07-02 00:00.000000;0;NOP
10/2020;;27909.00;60;2020-01-07 00:00.000000;2020-03-07 00:00.000000;0;NOP
10/2021;;11000.00;5;2021-01-02 00:00.000000;2021-01-07 00:00.000000;0;NOP
100/2012;;100000.00;18;2012-01-03 00:00.000000;2013-07-03 00:00.000000;0;NOP
100/2013;;55000.00;10;2012-08-08 00:00.000000;2013-06-08 00:00.000000;0;NOP
100/2014;;60000.00;145;2014-01-06 00:00.000000;2014-05-31 00:00.000000;0;NOP
100/2015;;50000.00;2;2015-01-12 00:00.000000;2015-03-12 00:00.000000;0;NOP
100/2016;;67000.00;77;2016-02-18 00:00.000000;2016-05-05 00:00.000000;0;NOP
100/2017;;280000.00;12;2017-01-09 00:00.000000;2018-01-09 00:00.000000;0;NOP
100/2018;;25000.00;60;2018-01-08 00:00.000000;2018-03-09 00:00.000000;0;NOP
100/2019;;10000.00;90;2019-01-07 00:00.000000;2019-04-07 00:00.000000;0;NOP
100/2020;;90000.00;91;2020-01-07 00:00.000000;2020-04-07 00:00.000000;0;NOP
100/2021;;25000.00;4;2021-01-04 00:00.000000;2021-01-08 00:00.000000;0;NOP
1000/2012;;20000.00;2;2012-01-12 00:00.000000;2012-03-12 00:00.000000;0;NOP
1000/2013;;30000.00;2;2013-01-14 00:00.000000;2013-03-14 00:00.000000;0;NOP
1000/2014;;28000.00;14;2014-01-15 00:00.000000;2014-01-29 00:00.000000;0;NOP
